target,age_group,country,exp_group,views_day,movie_views_rate,movie_likes_rate,covid_likes_rate,sport_likes_rate,politics_likes_rate,business_likes_rate,tech_likes_rate,user_emb_0,user_emb_1,user_emb_2,user_emb_3,user_emb_4,user_emb_5,user_emb_6,user_emb_7,user_emb_8,user_emb_9,topic,likes_rating,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,post_emb_0,post_emb_1,post_emb_2,post_emb_3,post_emb_4,post_emb_5,post_emb_6,post_emb_7,post_emb_8,post_emb_9
1,20-24,Russia,1,7,0.4045584045584046,0.1056338028169014,0.147239263803681,0.2295081967213114,0.1860465116279069,0.2297297297297297,0.1034482758620689,0.16087809,-0.34632346,0.41360763,0.2726739,-0.42422298,-0.36903223,0.0020331517,0.02842382,0.21603791,-0.14473669,covid,290,0.1756634467921133,0.0560526499393333,0.0150209250173621,-0.0675835376842495,-0.1280934408455269,-0.0205483190696841,-0.0325552737722833,0.0125929153143502,-0.0052873197643871,-0.023104681052766,-1.5876763,-0.106741056,0.6268243,0.47237113,0.26239544,1.1994152,-0.13958953,-0.46439567,0.0754351,1.0629504
0,14-19,Russia,1,7,0.3817663817663818,0.0820895522388059,0.10062893081761,0.1145833333333333,0.1285714285714285,0.0975609756097561,0.0714285714285714,0.20640916,-0.58132225,0.09847898,0.09741985,-0.023530891,0.09577435,-0.007342566,-0.020226106,-0.09641001,0.3222694,politics,368,0.1815464861093502,-0.2205515637780679,0.0897565000058676,-0.0210873337418748,0.0157591752864688,0.085881928517933,-0.0784366250080301,0.1310366183622111,0.058780198201593,-0.0915424859194592,0.02262217,0.6810457,-0.13397259,0.8240206,-1.1688185,0.08942206,-1.9288776,0.27808627,-0.65020156,0.7873342
0,20-24,Russia,3,7,0.3931623931623931,0.0217391304347826,0.0412371134020618,0.0444444444444444,0.0588235294117647,0.0833333333333333,0.0,-0.03654566,0.11806399,-0.027189044,-0.22733282,0.12560506,0.28790143,0.47666505,0.14297196,-0.039095186,0.07582707,sport,169,0.0982453995501207,-0.1278200830473313,0.0709715334957696,0.0071399697274492,-0.0004313902377782,-0.1753727604375703,-0.0749843423968233,0.0928046324025995,0.0038567721518309,-0.0162347129120757,0.6164986,1.0658817,-0.34031668,0.76644707,-0.6447819,0.5074567,-0.90323204,-0.18810935,-0.7931873,-0.47973886
0,20-24,Russia,4,7,0.4017094017094017,0.0780141843971631,0.088235294117647,0.1707317073170731,0.1851851851851851,0.1,0.0,-0.0024499146,-0.022316856,0.16550547,0.17317814,0.12245439,0.41188252,-0.09763424,0.09743374,-0.18672752,-0.5016462,covid,250,0.2497043326454307,0.0415429573750343,-0.0330754500806289,-0.0964262815075751,-0.153205569246527,-0.0184746050620273,-0.0385510079815127,0.011172716354682,-0.0077489082879616,-0.0071402800472571,-0.4495178,0.8456445,-1.0603704,0.23178309,0.81785613,-0.91270447,-1.9490627,-0.83439267,1.5099558,0.18580027
0,14-19,Russia,4,7,0.4002849002849002,0.0711743772241993,0.0470588235294117,0.1188118811881188,0.0597014925373134,0.0,0.0,0.2730308,0.3579006,0.16779469,0.017869249,0.3495523,-0.059370674,0.1846503,0.1544243,-0.2788211,-0.051923662,movie,204,0.1255950632393987,-0.1717650186737145,0.0031639085125784,0.0848748677803586,-0.0452370388406002,0.0241243625791532,-0.0005884802584943,0.0006998764938533,0.0071943747414917,-0.0203253596989643,-1.8679608,-0.9736214,-0.24146137,0.68609244,-0.06710663,-0.2829482,0.7456826,-0.33310434,0.54300994,-0.28507948
1,20-24,Russia,3,7,0.3917378917378917,0.1381818181818181,0.1361256544502617,0.146067415730337,0.3076923076923077,0.1489361702127659,0.0526315789473684,0.41979328,0.32154828,0.32515928,0.17032674,0.20988697,0.17726496,0.07362648,0.25296053,-0.123732604,0.31621012,movie,336,0.1582578683588384,-0.2009888175190119,0.0064824504226686,0.0423217521409208,-0.0284506436275771,-0.0540872716954511,-0.0450141887021685,0.0402184715369942,0.0414297946109127,-0.0532782218957994,-0.44241756,1.18146,1.3164593,-0.04276192,-1.6188846,0.085314535,-0.19451515,-0.85178906,0.0006612403,-0.15287341
1,20-24,Russia,3,7,0.3575498575498576,0.1274900398406374,0.1016949152542373,0.1625,0.1964285714285714,0.1578947368421052,0.0357142857142857,-0.2578344,0.33941832,0.03814441,0.34273407,0.19009246,0.5346962,0.2902512,-0.049317103,-0.05070711,0.08914872,politics,107,0.0851857199738622,-0.103795321869461,0.3117903703574412,-0.0549985748879568,0.0474426989713342,0.3384210107073976,-0.063418336744566,0.2061131459793565,-0.0728871091878746,0.0476657032673617,0.6667562,0.25393614,0.066298,0.24536993,-0.2220975,2.0265846,0.9313099,-0.9481524,-1.356499,-1.2110994
1,14-19,Russia,2,7,0.4316239316239316,0.1848184818481848,0.2111801242236025,0.3152173913043478,0.1194029850746268,0.2068965517241379,0.2272727272727272,-0.09408437,0.22045544,0.074729115,-0.03152657,-0.20547193,-0.0006090822,-0.04187224,-0.10641676,-0.5125626,0.114491366,covid,95,0.3849948860858089,0.2253991232046629,-0.0370654432399974,0.0276514111907308,0.0742280241091748,0.0396804270537574,-0.0666946549767018,-0.0153976756835576,0.0122136568080099,-0.0126977069829003,-0.088648856,-1.2675563,0.96600723,-0.9513839,-1.2511206,-0.14974512,-0.5146121,-0.4054263,-1.4526052,-0.28834513
1,14-19,Russia,4,7,0.4188034188034188,0.1326530612244898,0.1851851851851851,0.2692307692307692,0.1492537313432835,0.0357142857142857,0.0416666666666666,-0.43883207,-0.040386707,-0.3637981,0.2513986,0.13139102,0.09706683,0.07802405,0.048057925,0.100047484,-0.39606956,covid,261,0.1839895635730392,0.0518902428025699,-0.0109507572063498,-0.070546456013621,-0.1341520598521215,-0.0100875596577057,-0.0312409804396055,0.0065183198331009,0.0009853663183812,-0.0228979861839428,0.09196448,1.7445657,0.71442986,1.077854,0.7650832,0.27249533,1.0517335,-0.28080773,0.041794494,1.6090525
1,20-24,Russia,1,7,0.3732193732193732,0.1450381679389313,0.1173184357541899,0.2098765432098765,0.1558441558441558,0.119047619047619,0.0,0.1624155,-0.43284622,0.2518458,0.32821414,-0.04795538,0.0075507173,0.09009562,0.09404644,-0.099680334,-0.22006847,politics,311,0.1662116717297417,-0.2032153236423128,0.2890663880941942,-0.0319254833697008,0.0348678669741757,0.1637363481170611,-0.0606412548611336,0.1355388190447333,0.0010381465192877,-0.0107656464019001,-0.15597142,0.71440387,0.08644892,0.4932267,0.7341567,0.20082407,0.12171304,0.38404313,-0.71869195,1.0120132
